index,status,card_present_flag,account,currency,long_lat,txn_description,merchant_id,first_name,balance,date,gender,age,merchant_suburb,merchant_state,extraction,amount,transaction_id,country,customer_id,merchant_long_lat,movement
81,authorized,0.0,ACC-819621312,AUD,145.04 -37.85,POS,0bf7d15e-20d0-4246-8e99-59c3dd1a2dcb,Michele,86.3,01/08/2018,F,30,Windsor,VIC,2018-08-01T15:02:21.000+0000,5.29,6cf7fafedd0b4a30bc1b00023cbee2d7,Australia,CUS-1271030853,144.99 -37.86,debit
82,authorized,1.0,ACC-1710017148,AUD,150.82 -34.01,SALES-POS,31409513-c87e-497b-bcdb-4f91c51b5996,Michelle,1602.58,01/08/2018,F,19,Hurstville,NSW,2018-08-01T15:08:34.000+0000,6.58,0b0be6179db945629804267253f52d4d,Australia,CUS-883482547,151.1 -33.97,debit
83,authorized,1.0,ACC-1973887809,AUD,115.78 -31.90,SALES-POS,e3136489-2e9f-4490-a7a4-9b5a8355776c,Antonio,713.56,01/08/2018,M,26,O'connor,WA,2018-08-01T15:27:12.000+0000,16.03,fff1c10f94b74ad78176503e32accb90,Australia,CUS-1646621553,115.8 -32.07,debit
84,authorized,1.0,ACC-1516130869,AUD,130.84 -12.45,POS,e9d1bc97-2073-4ede-9665-ab400e8e7be6,Jessica,143.4,01/08/2018,F,21,Coconut Grove,NT,2018-08-01T15:33:24.000+0000,32.41,a9f8f0c8aefc4b7fbd8c659b703d08bc,Australia,CUS-325142416,130.85 -12.4,debit
85,authorized,1.0,ACC-966140392,AUD,147.08 -37.97,SALES-POS,9f0244d9-2b86-4065-85dc-6c2089ddc749,Joseph,750.75,01/08/2018,M,21,Wheelers Hill,VIC,2018-08-01T15:39:37.000+0000,12.89,afdd21bfccd949c9b24480909c86de1e,Australia,CUS-537508723,145.16 -37.91,debit
86,authorized,1.0,ACC-1973887809,AUD,115.78 -31.90,POS,bedfaec0-2483-449c-9d0f-b8492469a4a2,Antonio,697.46,01/08/2018,M,26,Taree,NSW,2018-08-01T15:45:50.000+0000,16.1,aadd1e78dc7f49f3b349c52d7c0219ed,Australia,CUS-1646621553,152.46 -31.91,debit
87,authorized,1.0,ACC-1056639002,AUD,145.03 -37.91,SALES-POS,8caa374e-b525-4314-82e2-b8a4d8828490,Michael,39595.08,01/08/2018,M,22,Carlton North,VIC,2018-08-01T15:52:02.000+0000,39.92,bc6ef7e90d3a4b479e881b68d68eedf5,Australia,CUS-3462882033,144.98 -37.78,debit
88,authorized,1.0,ACC-1279356312,AUD,144.79 -37.73,POS,6f26079c-0269-473c-8db5-48c93b871572,Tyler,1082.64,01/08/2018,M,44,Doncaster East,VIC,2018-08-01T15:58:15.000+0000,8.1,6dfe62109c534a1d9cb76b57d703e7fe,Australia,CUS-1892177589,145.17 -37.76,debit
94,authorized,1.0,ACC-1608363396,AUD,151.22 -33.87,POS,0bf67b9f-7fa9-4458-8595-d1e738f26550,Robert,1691.91,01/08/2018,M,20,Newtown,NSW,2018-08-01T16:12:00.000+0000,13.52,0ae06c9043b94ad19fde3dd4524a738b,Australia,CUS-2688605418,151.18 -33.9,debit
95,authorized,0.0,ACC-1799207998,AUD,150.68 -33.79,POS,eb3f245f-1016-416a-bab1-6743f6450d34,Susan,43.06,01/08/2018,F,20,Brookvale,NSW,2018-08-01T16:28:40.000+0000,76.82,954d5cc3ef1c4dbe96219af4ae7d7b5a,Australia,CUS-164374203,151.27 -33.77,debit
96,authorized,0.0,ACC-3879258709,AUD,143.83 -37.66,POS,d8baa380-1cf2-485e-8b61-e6b73aab3400,Natasha,186344.95,01/08/2018,F,40,Ballarat,VIC,2018-08-01T16:45:20.000+0000,26.91,1eb22646ff724bfb9d3f3b8108abf785,Australia,CUS-527400765,143.81 -37.55,debit
104,authorized,0.0,ACC-854938045,AUD,147.63 -22.84,POS,a676e908-5124-4f59-b35c-4617dac98872,James,6941.78,01/08/2018,M,28,Junee,NSW,2018-08-01T17:01:07.000+0000,22.59,77e20a08f52446c3b903a215949968d3,Australia,CUS-4023861240,147.59 -34.86,debit
105,authorized,1.0,ACC-1279356312,AUD,144.79 -37.73,SALES-POS,9ceb9e51-60f0-4e1a-9656-caad3dd9a75f,Tyler,1067.36,01/08/2018,M,44,Reservoir,VIC,2018-08-01T17:10:33.000+0000,15.28,c06d646beb4b4bb090caf460a6c32f4e,Australia,CUS-1892177589,145.01 -37.72,debit
106,authorized,1.0,ACC-574997646,AUD,150.79 -33.64,SALES-POS,68c05695-d552-4a40-b4a8-cc9f8d88b18f,Mackenzie,189.55,01/08/2018,F,18,Robertson,SA,2018-08-01T17:20:00.000+0000,5.62,91e5965b88db48109b49395233411ddc,Australia,CUS-586638664,139 -33.97,debit
107,authorized,1.0,ACC-1443681913,AUD,150.92 -33.77,SALES-POS,c50f2e29-5fb5-4ac5-a2ea-1ae575443069,Ryan,492.41,01/08/2018,M,31,Haymarket,NSW,2018-08-01T17:38:52.000+0000,93.79,d60f5196641f43debf50a0c04de03c8c,Australia,CUS-3129499595,151.21 -33.88,debit
108,authorized,1.0,ACC-1650504218,AUD,145.01 -37.93,SALES-POS,f15a375b-5aeb-48ff-a5c5-3334605186a0,Marissa,2025.72,01/08/2018,F,23,Croydon,VIC,2018-08-01T17:48:18.000+0000,14.86,b16ca12e31304618bd133f80cf64c331,Australia,CUS-2500783281,145.28 -37.79,debit
109,authorized,1.0,ACC-958000567,AUD,130.90 -12.37,SALES-POS,383aeeda-a0da-442e-b018-70389e109700,Sandra,468.09,01/08/2018,F,34,Yarrawonga,NT,2018-08-01T17:57:44.000+0000,18.59,450bda471a7649898a3b13e4fad158db,Australia,CUS-4142663097,130.98 -12.47,debit
111,authorized,1.0,ACC-1598451071,AUD,153.41 -27.95,POS,44abc19c-aa5c-40bd-b1d0-9b2f236189ea,Diana,1006.85,01/08/2018,F,26,Bundall,QLD,2018-08-01T18:19:29.000+0000,10.67,cd0113426970425a8524e55f4079408f,Australia,CUS-2487424745,153.41 -28.01,debit
112,authorized,0.0,ACC-90814749,AUD,151.68 -32.98,SALES-POS,5e4447f8-8083-40eb-b75f-f7e9a0583d3c,Christopher,6022.68,01/08/2018,M,35,Peterborough,SA,2018-08-01T18:45:07.000+0000,19.58,3b8ac93bc7cd4d24a288882782a805e6,Australia,CUS-1896554896,138.84 -32.97,debit
114,authorized,1.0,ACC-964839203,AUD,146.92 -36.07,SALES-POS,c6163a13-ed92-44bf-9bad-9535d4516888,Michael,27984.9,01/08/2018,M,21,Lavington,NSW,2018-08-01T19:04:09.000+0000,26.75,361e4d9928094aafa77d0a1e7e32b731,Australia,CUS-2059096722,146.97 -36.04,debit
115,authorized,1.0,ACC-80388494,AUD,144.97 -37.42,POS,4ae2bdc0-e282-45f4-be7c-aa2853fda03b,Dustin,823.53,01/08/2018,M,28,Docklands,VIC,2018-08-01T19:14:03.000+0000,9.21,44f99c5dcf804f14842c2a9a957f3298,Australia,CUS-1140341822,144.94 -37.82,debit
116,authorized,1.0,ACC-3485804958,AUD,138.52 -35.01,POS,5a3c0cad-eb95-43f2-9d62-c55f9d325ce9,Jessica,16421.78,01/08/2018,F,34,North Wagga Wagga,NSW,2018-08-01T19:23:57.000+0000,11.54,d08a764ae0a5487b85cd08cf1d1e7378,Australia,CUS-1196156254,147.38 -35.1,debit
117,authorized,0.0,ACC-1598451071,AUD,153.41 -27.95,SALES-POS,73aac058-cb31-46c2-826d-29b161bfb23e,Diana,995.57,01/08/2018,F,26,Elanora,QLD,2018-08-01T19:33:51.000+0000,11.28,9a13829c885344c3ad6c6f1a2d30d1bc,Australia,CUS-2487424745,153.47 -28.13,debit
118,authorized,1.0,ACC-964839203,AUD,146.92 -36.07,SALES-POS,1b9ea2a4-61fe-4134-9042-b9b6d92aea7a,Michael,27953.53,01/08/2018,M,21,North Ward,QLD,2018-08-01T19:43:45.000+0000,31.37,219c4cbb3c4a4b5f92d1f83f1ad1c15b,Australia,CUS-2059096722,146.81 -19.25,debit
119,authorized,1.0,ACC-3881031190,AUD,149.19 -21.15,POS,fbf7bf9d-d2ed-4f83-a5e7-098cef476906,Richard,445.04,01/08/2018,M,37,Bucasia,QLD,2018-08-01T19:53:39.000+0000,23.86,453c37a1b37a44ce92b932420a70769f,Australia,CUS-3201519139,149.16 -21.03,debit
124,authorized,1.0,ACC-1037050564,AUD,153.10 -27.66,SALES-POS,3de54244-f7ba-46c9-aa99-01bd54625d25,Rhonda,1963.94,01/08/2018,F,40,Brisbane Airport,QLD,2018-08-01T20:09:28.000+0000,65.11,fe3610e9d3ab418bba2ae7a62c56bc97,Australia,CUS-1614226872,153.12 -27.39,debit
125,authorized,0.0,ACC-854938045,AUD,147.63 -22.84,SALES-POS,6ef562a8-928c-4f56-86f1-592357fd5daa,James,6924.65,01/08/2018,M,28,Seven Mile Beach,TAS,2018-08-01T20:35:47.000+0000,17.13,414f37db1e6143fbbf24501ce457c161,Australia,CUS-4023861240,147.5 -42.86,debit
127,authorized,1.0,ACC-1217063613,AUD,147.61 -37.82,SALES-POS,92495e0a-61df-4c3d-9e2d-083ef2efed00,Kimberly,34.97,01/08/2018,F,27,Tullamarine,VIC,2018-08-01T21:01:28.000+0000,7.29,3067a11e2cee4f2a97e4974249bbebb7,Australia,CUS-1739931018,144.84 -37.67,debit
128,authorized,1.0,ACC-3771436525,AUD,145.04 -37.92,POS,d2c81d3b-0816-4809-88e0-32d1451a8aa3,Derek,614.93,01/08/2018,M,20,Camberwell,VIC,2018-08-01T21:19:59.000+0000,27.82,753965c7dfc54261851cf247a6e9f7e7,Australia,CUS-3325710106,145.06 -37.83,debit
129,authorized,0.0,ACC-1598451071,AUD,153.41 -27.95,POS,d87e2b48-3fc5-47e4-87c5-014e56e493df,Diana,986.58,01/08/2018,F,26,Elanora,QLD,2018-08-01T21:38:31.000+0000,8.99,e1949cb88eb74ad1b0391347a221e938,Australia,CUS-2487424745,153.47 -28.13,debit
130,authorized,0.0,ACC-1683215619,AUD,138.67 -34.86,POS,597b6106-331b-4d3d-86f8-03931dfcf86a,Barry,279.86,01/08/2018,M,38,Yass,NSW,2018-08-01T21:57:02.000+0000,21.79,685889d91567454d8b1d7074bf195504,Australia,CUS-1604596597,148.91 -34.84,debit
132,authorized,1.0,ACC-1598451071,AUD,153.41 -27.95,POS,4345dbd1-dfa8-4466-892a-4136a5ae08a2,Diana,976.26,01/08/2018,F,26,Labrador,QLD,2018-08-01T22:25:27.000+0000,10.32,e9ff93190c9a4a088994e0f74b02e953,Australia,CUS-2487424745,153.41 -27.94,debit
133,authorized,1.0,ACC-2897221629,AUD,150.90 -34.37,POS,a1faef96-3162-4cb0-bbd6-ec5771644123,Scott,94.45,01/08/2018,M,23,Yagoona,NSW,2018-08-01T22:55:45.000+0000,19.04,65eebe02143248789fd503b381ff78b4,Australia,CUS-511326734,151.01 -33.91,debit
137,authorized,1.0,ACC-964839203,AUD,146.92 -36.07,SALES-POS,da3deefd-e453-4ba6-9d32-54edf2dfd93d,Michael,27923.06,02/08/2018,M,21,Docklands,VIC,2018-08-02T00:05:27.000+0000,30.47,fbe3b2b4ceb54e3a83d89e0ec0644d9b,Australia,CUS-2059096722,144.95 -37.82,debit
